timestamp,strategy,market_ticker,event_ticker,sport,side,contracts,entry_price,exit_price,peak_price,entry_fee,exit_fee,pnl,exit_reason,entry_time,is_bot
2026-03-17T23:34:35.762166,exit_sl_tennis_underdog,KXWTAMATCH-26MAR17SONHAD-HAD,,,yes,2,40,28,,,,-0.26,Stop loss: 28c<=28c entry=40c PNL=$-0.26,,
2026-03-17T23:38:22.940186,watcher_manual,KXATPMATCH-26MAR17TIRLAN-LAN,KXATPMATCH-26MAR17TIRLAN,,yes,2,35,22,35,0.08,0.01,-0.35,Tennis SL pct=33% 22c<=23c PNL=$-0.35,2026-03-17T23:04:23.131824Z,False
2026-03-17T23:47:30.393445,watcher_tennis_underdog,KXWTAMATCH-26MAR17KENBLI-KEN,KXWTAMATCH-26MAR17KENBLI,,yes,2,39,72,72,0.01,0.01,0.64,Tennis TP pct=33% 72c>=72c PNL=$0.64,2026-03-17T23:35:46.146569+00:00,True
2026-03-17T23:48:08.193332,watcher_tennis_underdog,KXWTAMATCH-26MAR17KENBLI-BLI,KXWTAMATCH-26MAR17KENBLI,,yes,3,31,21,31,0.02,0.01,-0.33,Tennis SL pct=33% 21c<=21c PNL=$-0.33,2026-03-17T23:45:28.614000+00:00,True
2026-03-17T23:49:32.853044,watcher_tennis_underdog,KXWTAMATCH-26MAR17KENBLI-BLI,KXWTAMATCH-26MAR17KENBLI,,yes,5,24,16,24,0.02,0.02,-0.44,Tennis SL pct=33% 16c<=16c PNL=$-0.44,2026-03-17T23:48:57.926519+00:00,True
2026-03-17T23:56:24.876654,watcher_tennis_underdog,KXATPMATCH-26MAR17TIRLAN-LAN,KXATPMATCH-26MAR17TIRLAN,,yes,4,25,21,25,0.02,0.02,-0.2,Tennis SL pct=81% 21c<=21c PNL=$-0.20,2026-03-17T23:53:35.101218+00:00,True
2026-03-17T23:56:33.201979,watcher_manual,KXATPMATCH-26MAR17TIRLAN-LAN,KXATPMATCH-26MAR17TIRLAN,,yes,4,25,21,25,0.16999999999999998,0.02,-0.35,Tennis SL pct=81% 21c<=21c PNL=$-0.35,2026-03-17T23:04:23.131824Z,False
2026-03-18T00:06:21.926378,watcher_tennis_underdog,KXWTAMATCH-26MAR17KENBLI-BLI,KXWTAMATCH-26MAR17KENBLI,,yes,5,22,15,22,0.02,0.02,-0.39,Tennis SL pct=75% 15c<=15c PNL=$-0.39,2026-03-18T00:03:56.442215+00:00,True
2026-03-18T00:23:57.758674,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR16BARKIN-KIN,KXATPCHALLENGERMATCH-26MAR16BARKIN,,yes,3,33,21,35,0.02,0.01,-0.39,Tennis SL pct=33% 21c<=22c PNL=$-0.39,2026-03-18T00:18:13.710588+00:00,True
2026-03-18T00:32:12.117454,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR16BARKIN-KIN,KXATPCHALLENGERMATCH-26MAR16BARKIN,,yes,3,28,19,28,0.02,0.01,-0.3,Tennis SL pct=33% 19c<=19c PNL=$-0.30,2026-03-18T00:31:28.141381+00:00,True
2026-03-18T00:50:23.308769,watcher_tennis_underdog,KXATPMATCH-26MAR17TIRLAN-LAN,KXATPMATCH-26MAR17TIRLAN,,yes,2,34,78,78,0.01,0.01,0.86,Tennis TP pct=72% 78c>=67c PNL=$0.86,2026-03-18T00:23:59.633015+00:00,True
2026-03-18T00:55:18.691520,watcher_tennis_underdog,KXWTAMATCH-26MAR17KENBLI-BLI,KXWTAMATCH-26MAR17KENBLI,,yes,2,36,72,72,0.01,0.01,0.7,Tennis TP pct=78% 72c>=67c PNL=$0.70,2026-03-18T00:19:23.981233+00:00,True
2026-03-18T00:59:39.790081,watcher_reconciled,KXWTAMATCH-26MAR17KENBLI-KEN,KXWTAMATCH-26MAR17KENBLI,,yes,3,27,18,27,0.09000000000000001,0.01,-0.37,Tennis SL pct=99% 18c<=21c PNL=$-0.37,2026-03-17T23:35:46.118068Z,True
2026-03-18T00:59:58.053316,watcher_tennis_underdog,KXWTAMATCH-26MAR17KENBLI-KEN,KXWTAMATCH-26MAR17KENBLI,,yes,4,21,16,21,0.02,0.01,-0.23,Tennis SL pct=99% 16c<=16c PNL=$-0.23,2026-03-18T00:59:56.331611+00:00,True
2026-03-18T01:22:58.516324,watcher_tennis_underdog,KXWTAMATCH-26MAR17SINOSO-SIN,KXWTAMATCH-26MAR17SINOSO,,yes,2,35,23,47,0.01,0.01,-0.26,Tennis SL pct=33% 23c<=23c PNL=$-0.26,2026-03-18T01:06:48.321990+00:00,True
2026-03-18T01:56:18.227298,exit_sl_tennis_underdog,KXWTAMATCH-26MAR17SINOSO-SIN,KXWTAMATCH-26MAR17SINOSO,TennisMATCH,yes,4,23,16,32,0.02,0.01,-0.31,Stop loss: 16c<=16c entry=23c PNL=$-0.31,2026-03-18T01:31:20.760121+00:00,True
2026-03-18T02:16:22.834009,watcher_tennis_underdog,KXWTAMATCH-26MAR17SINOSO-SIN,KXWTAMATCH-26MAR17SINOSO,,yes,3,26,20,38,0.02,0.01,-0.21,Tennis SL pct=86% 20c<=20c PNL=$-0.21,2026-03-18T02:04:05.930973+00:00,True
2026-03-18T02:17:28.970464,watcher_tennis_underdog,KXWTAMATCH-26MAR17SINOSO-SIN,KXWTAMATCH-26MAR17SINOSO,,yes,4,21,14,21,0.02,0.01,-0.31,Tennis SL pct=33% 14c<=14c PNL=$-0.31,2026-03-18T02:17:26.886789+00:00,True
