timestamp,market_ticker,event_ticker,sport,side,strategy,entry_price,exit_price,peak_price,contracts,entry_fee,exit_fee,pnl_gross,pnl_net,win,exit_reason,age_seconds,price_range,is_bot
2026-03-16T22:24:47.059531+00:00,KXWTAMATCH-26MAR15INGSTA-ING,KXWTAMATCH-26MAR15INGSTA,TennisMATCH,yes,exit_stale_underdog,40,36,40,3,0.02,0.02,-0.12,-0.16,0,"Stale exit: 392s open, only 4c move",394,35-44,1
2026-03-16T22:26:09.080162+00:00,KXWTAMATCH-26MAR15STEPAR-STE,KXWTAMATCH-26MAR15STEPAR,TennisMATCH,yes,exit_stale_underdog,33,35,33,3,0.02,0.02,0.06,0.02,1,"Stale exit: 309s open, only 2c move",309,25-34,1
2026-03-16T22:27:33.483340+00:00,KXATPMATCH-26MAR16BELJAR-JAR,KXATPMATCH-26MAR16BELJAR,TennisMATCH,yes,exit_stale_underdog,36,34,36,3,0.02,0.02,-0.06,-0.1,0,"Stale exit: 310s open, only 2c move",310,35-44,1
2026-03-16T22:27:36.329839+00:00,KXWTAMATCH-26MAR15DOLBAR-DOL,KXWTAMATCH-26MAR15DOLBAR,TennisMATCH,yes,exit_sl_underdog,34,22,34,3,0.02,0.01,-0.36,-0.39,0,Stop loss: 22c <= 34c -35%,395,25-34,1
2026-03-16T22:30:21.614092+00:00,KXWTAMATCH-26MAR15SEISTA-STA,KXWTAMATCH-26MAR15SEISTA,TennisMATCH,yes,exit_sl_underdog,36,12,36,3,0.02,0.01,-0.72,-0.75,0,Stop loss: 12c <= 36c -35%,335,35-44,1
2026-03-16T22:33:05.410598+00:00,KXWTAMATCH-26MAR15STEPAR-STE,KXWTAMATCH-26MAR15STEPAR,TennisMATCH,yes,exit_stale_underdog,37,37,37,3,0.02,0.02,0.0,-0.04,0,"Stale exit: 331s open, only 0c move",330,35-44,1
2026-03-16T22:36:15.510157+00:00,KXATPMATCH-26MAR16GARDRA-DRA,KXATPMATCH-26MAR16GARDRA,TennisMATCH,no,exit_sl_value_fade,6,1,6,20,0.02,0.01,-1.0,-1.03,0,Stop loss: 1c <= 6c -35%,522,5-14,1
2026-03-16T22:36:16.274413+00:00,KXATPMATCH-26MAR16BELJAR-JAR,KXATPMATCH-26MAR16BELJAR,TennisMATCH,yes,exit_stale_underdog,36,34,36,3,0.02,0.02,-0.06,-0.1,0,"Stale exit: 437s open, only 2c move",438,35-44,1
2026-03-16T22:41:23.085774+00:00,KXWTAMATCH-26MAR15GOLFRO-FRO,KXWTAMATCH-26MAR15GOLFRO,TennisMATCH,yes,exit_tp_underdog,33,47,33,9,0.02,0.04,1.26,1.2,1,Take profit: 47c >= 33c +30%,496,25-34,1
2026-03-16T22:42:45.976920+00:00,KXATPMATCH-26MAR16BELJAR-JAR,KXATPMATCH-26MAR16BELJAR,TennisMATCH,yes,exit_stale_underdog,36,34,36,3,0.02,0.02,-0.06,-0.1,0,"Stale exit: 307s open, only 2c move",307,35-44,1
2026-03-16T22:45:19.505239+00:00,KXWTAMATCH-26MAR15STEPAR-STE,KXWTAMATCH-26MAR15STEPAR,TennisMATCH,yes,exit_sl_underdog,34,20,34,3,0.02,0.01,-0.42,-0.45,0,Stop loss: 20c <= 34c -35%,152,25-34,1
